epoch 40,  actor_loss: -7.1729,  critic_loss: 0.1505, cost_time: 0.4892, best_solution: 0,od: 0.2683, eqity: 2.2136,rad: 14.9777
epoch 41,  actor_loss: -9.3402,  critic_loss: 0.1414, cost_time: 0.4498, best_solution: 0,od: 0.0879, eqity: 1.6506,rad: 12.4848
epoch 42,  actor_loss: 18.3931,  critic_loss: 0.4988, cost_time: 0.5181, best_solution: 0,od: 0.9179, eqity: 3.6888,rad: 18.1553
epoch 43,  actor_loss: -5.6330,  critic_loss: 0.0662, cost_time: 0.5506, best_solution: 0,od: 0.1999, eqity: 1.9583,rad: 23.0867
epoch 44,  actor_loss: 36.4236,  critic_loss: 1.6140, cost_time: 0.4618, best_solution: 0,od: 1.4589, eqity: 5.5291,rad: 34.3734
tensor([79.1424]) tensor([78.8328])
epoch 45,  actor_loss: -3.2784,  critic_loss: 0.0690, cost_time: 0.3012, best_solution: 0,od: 0.1125, eqity: 0.9976,rad: 13.2605
epoch 46,  actor_loss: 4.5124,  critic_loss: 0.1176, cost_time: 0.4400, best_solution: 0,od: 0.5160, eqity: 3.0762,rad: 12.4848
epoch 47,  actor_loss: 42.5372,  critic_loss: 1.5175, cost_time: 0.5855, best_solution: 0,od: 1.5539, eqity: 8.6830,rad: 31.8805
tensor([78.8328]) tensor([78.7569])
epoch 48,  actor_loss: 5.4516,  critic_loss: 0.0863, cost_time: 0.4408, best_solution: 0,od: 0.5144, eqity: 5.4737,rad: 29.0932
epoch 49,  actor_loss: 20.8730,  critic_loss: 0.8102, cost_time: 0.5187, best_solution: 0,od: 1.0711, eqity: 5.3125,rad: 29.4420
epoch 50,  actor_loss: 3.5973,  critic_loss: 0.2094, cost_time: 0.5352, best_solution: 0,od: 0.4321, eqity: 6.4379,rad: 14.9777
epoch 51,  actor_loss: 23.5087,  critic_loss: 1.3411, cost_time: 0.5379, best_solution: 0,od: 1.1462, eqity: 5.8180,rad: 26.2644
epoch 52,  actor_loss: 2.8796,  critic_loss: 0.1454, cost_time: 0.4747, best_solution: 0,od: 0.6035, eqity: 5.5553,rad: 34.3734
epoch 53,  actor_loss: -8.7369,  critic_loss: 0.1894, cost_time: 0.4887, best_solution: 0,od: 0.2497, eqity: 1.5974,rad: 15.3680
epoch 54,  actor_loss: -1.4093,  critic_loss: 0.0885, cost_time: 0.4513, best_solution: 0,od: 0.6079, eqity: 5.4537,rad: 14.9777
epoch 55,  actor_loss: -11.9429,  critic_loss: 0.2202, cost_time: 0.9101, best_solution: 0,od: 0.1833, eqity: 1.7296,rad: 14.9777
epoch 56,  actor_loss: -6.2235,  critic_loss: 0.1280, cost_time: 0.4782, best_solution: 0,od: 0.2784, eqity: 2.4127,rad: 28.7029
epoch 57,  actor_loss: 5.3578,  critic_loss: 0.6075, cost_time: 0.4467, best_solution: 0,od: 0.6186, eqity: 4.1446,rad: 6.8686
epoch 58,  actor_loss: 10.5245,  critic_loss: 0.3447, cost_time: 0.4324, best_solution: 0,od: 0.6551, eqity: 5.2073,rad: 26.2644
epoch 59,  actor_loss: 7.2419,  critic_loss: 0.1512, cost_time: 0.4149, best_solution: 0,od: 0.7924, eqity: 5.6143,rad: 31.8805
epoch 60,  actor_loss: -1.9591,  critic_loss: 0.1525, cost_time: 0.4599, best_solution: 0,od: 0.2837, eqity: 2.5224,rad: 14.9777
epoch 61,  actor_loss: -5.9477,  critic_loss: 0.0894, cost_time: 0.5316, best_solution: 0,od: 0.2316, eqity: 3.1321,rad: 12.4848
epoch 62,  actor_loss: 7.1715,  critic_loss: 0.4190, cost_time: 0.5426, best_solution: 0,od: 0.5529, eqity: 5.0321,rad: 14.9777
epoch 63,  actor_loss: 2.3732,  critic_loss: 0.1163, cost_time: 0.5307, best_solution: 0,od: 0.4001, eqity: 4.6883,rad: 26.2644
epoch 64,  actor_loss: 9.7626,  critic_loss: 0.0989, cost_time: 0.5557, best_solution: 0,od: 0.6783, eqity: 6.2796,rad: 39.6951
epoch 65,  actor_loss: 12.6087,  critic_loss: 0.4133, cost_time: 0.5096, best_solution: 0,od: 0.5800, eqity: 3.7964,rad: 23.7715
epoch 66,  actor_loss: 52.9363,  critic_loss: 2.1923, cost_time: 0.5726, best_solution: 0,od: 1.7126, eqity: 5.9614,rad: 45.6601
tensor([78.7569]) tensor([78.6300])
epoch 67,  actor_loss: -5.0517,  critic_loss: 0.1296, cost_time: 0.4189, best_solution: 0,od: 0.2936, eqity: 2.9998,rad: 14.9777
epoch 68,  actor_loss: -0.6431,  critic_loss: 0.2171, cost_time: 0.4807, best_solution: 0,od: 0.3654, eqity: 4.7400,rad: 14.9777
epoch 69,  actor_loss: -4.2469,  critic_loss: 0.0520, cost_time: 0.4039, best_solution: 0,od: 0.3380, eqity: 2.9825,rad: 31.1958
epoch 70,  actor_loss: -0.3223,  critic_loss: 0.1013, cost_time: 0.4229, best_solution: 0,od: 0.3832, eqity: 4.2140,rad: 26.2644
epoch 71,  actor_loss: 8.2331,  critic_loss: 0.3293, cost_time: 0.4927, best_solution: 0,od: 0.8073, eqity: 5.4627,rad: 28.7029
epoch 72,  actor_loss: 13.7345,  critic_loss: 0.3126, cost_time: 0.5515, best_solution: 0,od: 0.6463, eqity: 4.8353,rad: 26.2644
epoch 73,  actor_loss: 3.4818,  critic_loss: 0.2453, cost_time: 0.3586, best_solution: 0,od: 0.4476, eqity: 3.0306,rad: 23.0867
epoch 74,  actor_loss: -2.6022,  critic_loss: 0.0915, cost_time: 0.4104, best_solution: 0,od: 0.2545, eqity: 2.7934,rad: 31.8262
epoch 75,  actor_loss: 0.8187,  critic_loss: 0.0859, cost_time: 0.4254, best_solution: 0,od: 0.3619, eqity: 5.0268,rad: 23.0867
epoch 76,  actor_loss: -0.5106,  critic_loss: 0.0900, cost_time: 0.3850, best_solution: 0,od: 0.2525, eqity: 3.1104,rad: 10.4331
epoch 77,  actor_loss: -2.5959,  critic_loss: 0.0523, cost_time: 0.4636, best_solution: 0,od: 0.2068, eqity: 2.0477,rad: 14.9777
epoch 78,  actor_loss: -3.7185,  critic_loss: 0.0254, cost_time: 0.3985, best_solution: 0,od: 0.0338, eqity: 1.6762,rad: 6.8686
epoch 79,  actor_loss: 1.9938,  critic_loss: 0.0116, cost_time: 0.4344, best_solution: 0,od: 0.1393, eqity: 4.1913,rad: 6.8686
epoch 80,  actor_loss: 4.1466,  critic_loss: 0.0464, cost_time: 0.4259, best_solution: 0,od: 0.1508, eqity: 3.3315,rad: 14.9777
epoch 81,  actor_loss: 4.2390,  critic_loss: 0.0268, cost_time: 0.5182, best_solution: 0,od: 0.1310, eqity: 3.2129,rad: 6.8686
epoch 82,  actor_loss: 18.3485,  critic_loss: 0.5917, cost_time: 0.4389, best_solution: 0,od: 0.6864, eqity: 4.1536,rad: 23.0867
epoch 83,  actor_loss: 5.2398,  critic_loss: 0.0997, cost_time: 0.4782, best_solution: 0,od: 0.3094, eqity: 3.0016,rad: 6.8686
epoch 84,  actor_loss: -1.5622,  critic_loss: 0.0157, cost_time: 0.4937, best_solution: 0,od: 0.1620, eqity: 2.0746,rad: 14.9777
epoch 85,  actor_loss: 19.7161,  critic_loss: 0.7184, cost_time: 0.5112, best_solution: 0,od: 0.8939, eqity: 4.2776,rad: 23.4770
epoch 86,  actor_loss: -2.5895,  critic_loss: 0.0477, cost_time: 0.3960, best_solution: 0,od: 0.1452, eqity: 2.0244,rad: 26.9857
epoch 87,  actor_loss: 7.5196,  critic_loss: 0.1680, cost_time: 0.4827, best_solution: 0,od: 0.5800, eqity: 5.0047,rad: 14.9777
epoch 88,  actor_loss: 9.0532,  critic_loss: 0.2231, cost_time: 0.4324, best_solution: 0,od: 0.6971, eqity: 4.3414,rad: 23.0867
epoch 89,  actor_loss: 2.3959,  critic_loss: 0.2076, cost_time: 0.4324, best_solution: 0,od: 0.3795, eqity: 2.7278,rad: 14.9777
epoch 90,  actor_loss: -4.2839,  critic_loss: 0.0501, cost_time: 0.5286, best_solution: 0,od: 0.1879, eqity: 2.1770,rad: 14.9777
epoch 91,  actor_loss: 1.0346,  critic_loss: 0.1470, cost_time: 0.4159, best_solution: 0,od: 0.3212, eqity: 1.9273,rad: 14.9777
epoch 92,  actor_loss: -2.6669,  critic_loss: 0.0555, cost_time: 0.5012, best_solution: 0,od: 0.2720, eqity: 3.4995,rad: 14.9777
epoch 93,  actor_loss: -5.6825,  critic_loss: 0.0503, cost_time: 0.4364, best_solution: 0,od: 0.1528, eqity: 4.0644,rad: 6.8686
epoch 94,  actor_loss: 1.7452,  critic_loss: 0.0728, cost_time: 0.4658, best_solution: 0,od: 0.3177, eqity: 2.8886,rad: 23.0867
epoch 95,  actor_loss: -3.1384,  critic_loss: 0.0686, cost_time: 0.4638, best_solution: 0,od: 0.1835, eqity: 1.5805,rad: 6.8686
epoch 96,  actor_loss: -6.1740,  critic_loss: 0.0451, cost_time: 0.5712, best_solution: 0,od: 0.0635, eqity: 1.3156,rad: 6.8686
epoch 97,  actor_loss: 7.7038,  critic_loss: 0.2233, cost_time: 0.6582, best_solution: 0,od: 0.5383, eqity: 6.9712,rad: 23.0867
epoch 98,  actor_loss: 7.6883,  critic_loss: 0.1419, cost_time: 0.4079, best_solution: 0,od: 0.4496, eqity: 3.0158,rad: 6.8686
epoch 99,  actor_loss: -2.7815,  critic_loss: 0.0214, cost_time: 0.4148, best_solution: 0,od: 0.0825, eqity: 1.5925,rad: 6.8686
epoch 100,  actor_loss: 5.1485,  critic_loss: 0.1075, cost_time: 0.8193, best_solution: 0,od: 0.4504, eqity: 4.9379,rad: 23.0867
epoch 101,  actor_loss: 25.9271,  critic_loss: 1.2337, cost_time: 0.4643, best_solution: 0,od: 0.7648, eqity: 1.6206,rad: 13.5890
epoch 102,  actor_loss: -3.9895,  critic_loss: 0.0253, cost_time: 0.4541, best_solution: 0,od: 0.0417, eqity: 0.9740,rad: 6.8686
epoch 103,  actor_loss: -2.4775,  critic_loss: 0.0186, cost_time: 0.4655, best_solution: 0,od: 0.0798, eqity: 1.6780,rad: 6.8686
