
epoch 37,  actor_loss: 56.6517,  critic_loss: 22.1299, cost_time: 2.0303, best_solution: [5.1656646728515625],od: 4.6589, eqity: 6.5655,rad: 17.9683
epoch 38,  actor_loss: -6.9905,  critic_loss: 26.0233, cost_time: 1.8001, best_solution: [5.1656646728515625],od: 4.0122, eqity: 4.9525,rad: 20.1391
epoch 39,  actor_loss: -6.8415,  critic_loss: 16.9616, cost_time: 1.9977, best_solution: [5.1656646728515625],od: 4.7273, eqity: 6.3484,rad: 24.1894
epoch 40,  actor_loss: 101.2275,  critic_loss: 40.1580, cost_time: 1.9217, best_solution: [5.1656646728515625],od: 6.7297, eqity: 7.0297,rad: 27.7260
epoch 41,  actor_loss: 2.4489,  critic_loss: 23.1610, cost_time: 1.9306, best_solution: [6.729691982269287],od: 4.9482, eqity: 5.6693,rad: 23.3525
epoch 42,  actor_loss: 69.2850,  critic_loss: 38.0309, cost_time: 2.0594, best_solution: [6.729691982269287],od: 5.8601, eqity: 6.6364,rad: 27.3614
epoch 43,  actor_loss: -18.0718,  critic_loss: 35.5163, cost_time: 1.8612, best_solution: [6.729691982269287],od: 3.6533, eqity: 4.7664,rad: 17.1072
epoch 44,  actor_loss: 69.6609,  critic_loss: 49.9005, cost_time: 1.8351, best_solution: [6.729691982269287],od: 5.5799, eqity: 5.2555,rad: 22.5535
epoch 45,  actor_loss: 13.4228,  critic_loss: 21.7672, cost_time: 1.8970, best_solution: [6.729691982269287],od: 3.7725, eqity: 5.2628,rad: 15.7816
epoch 46,  actor_loss: 160.0746,  critic_loss: 57.1711, cost_time: 1.8575, best_solution: [6.729691982269287],od: 5.7504, eqity: 5.8394,rad: 21.9028
epoch 47,  actor_loss: 146.1994,  critic_loss: 41.0936, cost_time: 1.9703, best_solution: [6.729691982269287],od: 5.6447, eqity: 5.7349,rad: 23.5517
epoch 48,  actor_loss: 119.3530,  critic_loss: 37.8643, cost_time: 1.9851, best_solution: [6.729691982269287],od: 5.0494, eqity: 6.3576,rad: 24.3571
epoch 49,  actor_loss: 35.3885,  critic_loss: 23.6796, cost_time: 1.7461, best_solution: [6.729691982269287],od: 3.1434, eqity: 4.3433,rad: 16.7857
epoch 50,  actor_loss: 187.1461,  critic_loss: 47.2203, cost_time: 2.0778, best_solution: [6.729691982269287],od: 7.0502, eqity: 7.9604,rad: 31.3257
epoch 51,  actor_loss: 75.3277,  critic_loss: 30.3066, cost_time: 1.9298, best_solution: [7.050162315368652],od: 4.5944, eqity: 5.9946,rad: 23.8865
epoch 52,  actor_loss: 91.2418,  critic_loss: 26.3944, cost_time: 2.1904, best_solution: [7.050162315368652],od: 5.9536, eqity: 7.3721,rad: 28.4376
epoch 53,  actor_loss: 51.8742,  critic_loss: 53.2917, cost_time: 2.0478, best_solution: [7.050162315368652],od: 5.5317, eqity: 6.1765,rad: 21.6346
epoch 54,  actor_loss: 33.4868,  critic_loss: 47.3261, cost_time: 2.0714, best_solution: [7.050162315368652],od: 5.5701, eqity: 6.1571,rad: 24.5463
epoch 55,  actor_loss: 50.5957,  critic_loss: 39.1423, cost_time: 2.1487, best_solution: [7.050162315368652],od: 5.9718, eqity: 7.1141,rad: 25.9137
epoch 56,  actor_loss: 122.3888,  critic_loss: 42.9235, cost_time: 2.1151, best_solution: [7.050162315368652],od: 7.3850, eqity: 8.2404,rad: 29.0926
epoch 57,  actor_loss: 147.9861,  critic_loss: 62.7888, cost_time: 2.1727, best_solution: [7.384958267211914],od: 7.4693, eqity: 8.1030,rad: 22.4291
epoch 58,  actor_loss: 86.6469,  critic_loss: 47.8463, cost_time: 2.2442, best_solution: [7.469303607940674],od: 6.8307, eqity: 7.7753,rad: 25.2553
epoch 59,  actor_loss: -53.4441,  critic_loss: 47.2253, cost_time: 2.0689, best_solution: [7.469303607940674],od: 4.4884, eqity: 5.4362,rad: 19.3927
epoch 60,  actor_loss: 23.0837,  critic_loss: 53.6988, cost_time: 2.0838, best_solution: [7.469303607940674],od: 6.6339, eqity: 6.4481,rad: 24.2371
epoch 61,  actor_loss: 39.5970,  critic_loss: 59.0438, cost_time: 2.1213, best_solution: [7.469303607940674],od: 6.6705, eqity: 6.9520,rad: 25.2553
epoch 62,  actor_loss: 56.0848,  critic_loss: 39.6677, cost_time: 2.1779, best_solution: [7.469303607940674],od: 6.8914, eqity: 7.9583,rad: 23.3708
epoch 63,  actor_loss: 66.4563,  critic_loss: 44.9693, cost_time: 2.2844, best_solution: [7.469303607940674],od: 5.8070, eqity: 6.7669,rad: 22.4193
epoch 64,  actor_loss: 257.4258,  critic_loss: 72.7452, cost_time: 2.6697, best_solution: [7.469303607940674],od: 8.7669, eqity: 9.5239,rad: 26.5692
epoch 65,  actor_loss: 224.8936,  critic_loss: 82.0846, cost_time: 2.2951, best_solution: [8.766946792602539],od: 7.3586, eqity: 7.3292,rad: 24.2417
epoch 66,  actor_loss: 304.1762,  critic_loss: 96.3677, cost_time: 2.2794, best_solution: [8.766946792602539],od: 8.5596, eqity: 8.5576,rad: 28.7790
epoch 67,  actor_loss: 110.5541,  critic_loss: 45.1923, cost_time: 2.2232, best_solution: [8.766946792602539],od: 5.4878, eqity: 6.9777,rad: 21.1494
epoch 68,  actor_loss: 104.4318,  critic_loss: 55.5980, cost_time: 2.2129, best_solution: [8.766946792602539],od: 7.0807, eqity: 7.9557,rad: 23.5739
epoch 69,  actor_loss: -103.4064,  critic_loss: 82.5080, cost_time: 2.1458, best_solution: [8.766946792602539],od: 5.3391, eqity: 5.9012,rad: 22.7916
epoch 70,  actor_loss: -143.6873,  critic_loss: 80.7004, cost_time: 2.2554, best_solution: [8.766946792602539],od: 6.2133, eqity: 6.8422,rad: 23.8421
epoch 71,  actor_loss: -102.8114,  critic_loss: 89.8419, cost_time: 2.1247, best_solution: [8.766946792602539],od: 5.9911, eqity: 6.0484,rad: 20.4438
epoch 72,  actor_loss: -8.0115,  critic_loss: 72.0152, cost_time: 2.3239, best_solution: [8.766946792602539],od: 7.4655, eqity: 8.3947,rad: 24.7611
epoch 73,  actor_loss: 93.9244,  critic_loss: 68.7826, cost_time: 2.1762, best_solution: [8.766946792602539],od: 7.7235, eqity: 7.8261,rad: 22.1924
epoch 74,  actor_loss: 132.3812,  critic_loss: 41.2617, cost_time: 2.2599, best_solution: [8.766946792602539],od: 7.3021, eqity: 7.9812,rad: 25.5533
epoch 75,  actor_loss: 177.5330,  critic_loss: 71.5774, cost_time: 2.1904, best_solution: [8.766946792602539],od: 7.1344, eqity: 7.7317,rad: 26.0953
epoch 76,  actor_loss: 86.8869,  critic_loss: 44.7396, cost_time: 2.1395, best_solution: [8.766946792602539],od: 5.6751, eqity: 6.8061,rad: 21.4642
epoch 77,  actor_loss: 223.1852,  critic_loss: 83.1836, cost_time: 2.4681, best_solution: [8.766946792602539],od: 9.2747, eqity: 9.4382,rad: 27.3700
epoch 78,  actor_loss: 99.3242,  critic_loss: 53.2520, cost_time: 2.3889, best_solution: [9.27474594116211],od: 8.0221, eqity: 8.8001,rad: 26.9209
epoch 79,  actor_loss: 0.7032,  critic_loss: 58.5500, cost_time: 2.3358, best_solution: [9.27474594116211],od: 7.0963, eqity: 7.5245,rad: 25.0660
